url,rating,title,pros,cons,advice,reviewer,datetime,language,id,culture_and_values_rating,diversity_and_inclusion_rating,work_life_balance_rating,senior_management_rating,compensation_and_benefits_rating,career_opportunities_rating,location_id,location,is_current_job,rating_ceo,rating_business_outlook,rating_recommend_to_friend,length_of_employment,job_title,job_title_id
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100405444.htm,5,Empresa,Excelente empresa parabéns trabalhar bom benefícios,Salário não é muito bom mas fora isso não tenho contras,,Mecânico De Manutenção,2025-10-02T12:39:55.943,pt,100405444,5,5,5.0,5.0,5.0,5.0,4159014,Alumínio,False,,POSITIVE,POSITIVE,4,Mecânico De Manutenção,765214
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100358437.htm,4,Oportunidade de crescimento,Há oportunidades de aprendizados e crescimento em diversas áreas.,Prazo médio de 3 anos para promoção.,"Por ser um consumidor, há dificuldades de promoções e reconhecimentos em tempos de crise, mas talvez ter um orçamento mais flexível ajudaria.",Analista Júnior,2025-09-30T13:13:33.953,pt,100358437,5,4,4.0,5.0,4.0,4.0,2479061,"São Paulo, ",True,,NEUTRAL,POSITIVE,4,Analista Júnior,4035169
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100322213.htm,5,Estágio,Ótimo ambiente para se trabalhar,"Acredito que nenhum, ótima experiência",,Estagiário,2025-09-29T07:09:36.517,pt,100322213,5,5,5.0,5.0,5.0,5.0,2479061,"São Paulo, ",True,,,,2,Estagiário,31609
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100220872.htm,5,Empresa com bom clima de pessoas,"Pessoas antigas
Aprendizado de processos variados
Abertura para diálogo 
Respeito


","Alta carga e cobrança fora do expediente.
É normal trabalhar em finais de semana, feriados e após expediente, sem adicionais e sem realizar o descanso nos outros dias. ",,Coordenador De Processos,2025-09-24T06:40:14.707,pt,100220872,4,5,2.0,2.0,2.0,2.0,,,False,,NEUTRAL,POSITIVE,0,Coordenador De Processos,1495919
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100220187.htm,4,Avaliação,"Salário, benefícios e dependendo da área é tranquilo de se trabalhar","as pessoas, a comida e a gestão",,Estágio Superior,2025-09-24T06:15:49.883,pt,100220187,0,0,0.0,0.0,0.0,0.0,4159014,Alumínio,False,,,,0,Estágio Superior,4035417
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100188748.htm,5,Ótima empresa,Gosto de trabalhar ambiente fabricação de lingote,So é um pouco quente usa muito ipi,Muito Boa,Operador De Produção,2025-09-23T03:28:07.753,pt,100188748,5,5,5.0,5.0,5.0,5.0,4159014,Alumínio,True,,POSITIVE,POSITIVE,4,Operador De Produção,4035175
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100150676.htm,5,vaga pretendida,"excelente salario, beneficio, transporte gratuito, refeição desconto irrisorio, pagamento em dia","sobre carga, somos alem da gestao das pessoas, temos que atuar como tecnico e segurança dos empregados",nada a declarar,Supervisor/Coordenador,2025-09-21T09:16:52.250,pt,100150676,4,5,2.0,3.0,5.0,3.0,,,True,,NEUTRAL,POSITIVE,0,Supervisor/Coordenador,4207790
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100138824.htm,3,Regular ,"Benefícios, fretado, bom ambiente de trabalho.","Baixo salário, dificuldade de crescimento profissional, ",,Mecânico de empilhadeiras especialista ,2025-09-20T08:05:51.627,pt,100138824,1,5,2.0,1.0,3.0,2.0,,,True,,NEUTRAL,NEGATIVE,0,Mecânico de empilhadeiras especialista ,6886560
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW100018467.htm,5,Empresa boa,"Empresa grande e boa, fretado, salario, previdência privada e PLR",Não tem contras a empresa,,Planeador de proyectos,2025-09-15T11:40:37.957,pt,100018467,5,5,5.0,5.0,5.0,5.0,4159014,Alumínio,True,,NEUTRAL,POSITIVE,2,Planeador de proyectos,4263965
https://www.glassdoor.com/Reviews/Employee-Review-M-RVW99908642.htm,2,Empresa boa,"Fretado de qualidade, pessoas boas.","A cada 2 anos aproximadamente mudam algumas pessoas de área ( engenheiros, coordenadores e gerentes) atrapalhando o desenvolvimento de projetos a longo prazo.
Existe a cultura de “não o importa o que precisa ser feito e sim quem está mandando”.",Aprenderem a tomar decisões estratégicas para a companhia.,Engenheiro Eletricista Júnior,2025-09-10T01:23:09.653,pt,99908642,1,4,4.0,1.0,4.0,4.0,4159014,Alumínio,True,,NEGATIVE,NEGATIVE,4,Engenheiro Eletricista Júnior,4040865
